School,Team,City,State,Type,Primary Conference
University of Hartford,Hawks,West Hartford,Connecticut,Private/Non-sectarian,America East Conference
Harvard University,Crimson,Cambridge,Massachusetts,Private/Non-sectarian,Ivy League
University of Hawaii at Manoa,Rainbow Warriors and Rainbow Wahine,Honolulu,Hawaii,State,Big West Conference[g]
High Point University,Panthers,High Point,North Carolina,Private/Methodist,Big South Conference
Hofstra University,Pride,Hempstead,New York,Private/Non-sectarian,Colonial Athletic Association
College of the Holy Cross,Crusaders,Worcester,Massachusetts,Private/Catholic,Patriot League
University of Houston,Cougars,Houston,Texas,State,American Athletic Conference
Houston Baptist University,Huskies,Houston,Texas,Private/Baptist,Southland Conference
Howard University,Bison and Lady Bison,Washington,District of Columbia,Private/Non-sectarian,Mid-Eastern Athletic Conference
University of Idaho,Vandals,Moscow,Idaho,State,Big Sky Conference
Idaho State University,Bengals,Pocatello,Idaho,State,Big Sky Conference
University of Illinois at Chicago,Flames,Chicago,Illinois,State,Horizon League
Illinois State University,Redbirds,Normal,Illinois,State,Missouri Valley Conference[h]
University of Illinois at Urbana–Champaign,Fighting Illini,Urbana–Champaign,Illinois,State,Big Ten Conference
University of the Incarnate Word,Cardinals,San Antonio,Texas,Private/Catholic,Southland Conference
Indiana University,Hoosiers,Bloomington,Indiana,State,Big Ten Conference
Indiana State University,Sycamores,Terre Haute,Indiana,State,Missouri Valley Conference[h]
Indiana University – Purdue University Indianapolis,Jaguars,Indianapolis,Indiana,State,Horizon League
Iona College,Gaels,New Rochelle,New York,Private/Catholic,Metro Atlantic Athletic Conference
University of Iowa,Hawkeyes,Iowa City,Iowa,State,Big Ten Conference
Iowa State University,Cyclones,Ames,Iowa,State,Big 12 Conference
Jackson State University,Tigers and Lady Tigers,Jackson,Mississippi,State,Southwestern Athletic Conference
Jacksonville University,Dolphins,Jacksonville,Florida,Private/Non-Sectarian,Atlantic Sun Conference[a]
Jacksonville State University,Gamecocks,Jacksonville,Alabama,State,Ohio Valley Conference
James Madison University,Dukes,Harrisonburg,Virginia,State,Colonial Athletic Association
University of Kansas,Jayhawks,Lawrence,Kansas,State,Big 12 Conference
Kansas State University,Wildcats,Manhattan,Kansas,State,Big 12 Conference
Kennesaw State University,Owls and Lady Owls,Kennesaw,Georgia,State,Atlantic Sun Conference[i]
Kent State University,Golden Flashes,Kent,Ohio,State,Mid-American Conference
University of Kentucky,Wildcats,Lexington,Kentucky,State,Southeastern Conference
La Salle University,Explorers,Philadelphia,Pennsylvania,Private/Catholic,Atlantic 10 Conference
Lafayette College,Leopards,Easton,Pennsylvania,Private/Presbyterian,Patriot League
Lamar University,Cardinals and Lady Cardinals,Beaumont,Texas,State,Southland Conference
Lehigh University,Mountain Hawks,Bethlehem,Pennsylvania,Private/Non-Sectarian,Patriot League
Liberty University,Flames and Lady Flames,Lynchburg,Virginia,Private/Christian,Atlantic Sun Conference[j]
Lipscomb University,Bisons and Lady Bisons,Nashville,Tennessee,Private/Churches of Christ,Atlantic Sun Conference
Long Island University–Brooklyn ,Blackbirds,Brooklyn,New York,Private/Non-Sectarian,Northeast Conference
Longwood University,Lancers,Farmville,Virginia,State,Big South Conference
University of Louisiana at Lafayette,Ragin' Cajuns,Lafayette,Louisiana,State,Sun Belt Conference
University of Louisiana at Monroe,Warhawks,Monroe,Louisiana,State,Sun Belt Conference
Louisiana State University,Tigers and Lady Tigers,Baton Rouge,Louisiana,State,Southeastern Conference
Louisiana Tech University,Bulldogs and Lady Techsters,Ruston,Louisiana,State,Conference USA
University of Louisville,Cardinals,Louisville,Kentucky,State,Atlantic Coast Conference
Loyola University Chicago,Ramblers,Chicago,Illinois,Private/Catholic,Missouri Valley Conference
Loyola University Maryland,Greyhounds,Baltimore,Maryland,Private/Catholic,Patriot League
Loyola Marymount University,Lions,Los Angeles,California,Private/Catholic,West Coast Conference
University of Maine,Black Bears,Orono,Maine,State,America East Conference
Manhattan College,Jaspers and Lady Jaspers,Riverdale,New York,Private/Catholic,Metro Atlantic Athletic Conference
Marist College,Red Foxes,Poughkeepsie,New York,Private/Catholic,Metro Atlantic Athletic Conference[a]
Marquette University,Golden Eagles,Milwaukee,Wisconsin,Private/Catholic,Big East Conference
Marshall University,Thundering Herd,Huntington,West Virginia,State,Conference USA
"University of Maryland, Baltimore County ",Retrievers,Catonsville,Maryland,State,America East Conference
"University of Maryland, College Park ",Terrapins,College Park,Maryland,State,Big Ten Conference
University of Maryland Eastern Shore,Hawks and Lady Hawks,Princess Anne,Maryland,State,Mid-Eastern Athletic Conference
University of Massachusetts Amherst,Minutemen and Minutewomen,Amherst,Massachusetts,State,Atlantic 10 Conference[k]
University of Massachusetts Lowell,River Hawks,Lowell,Massachusetts,State,America East Conference
McNeese State University,Cowboys and Cowgirls,Lake Charles,Louisiana,State,Southland Conference
University of Memphis,Tigers,Memphis,Tennessee,State,American Athletic Conference
Mercer University,Bears,Macon,Georgia,Private/Non-Sectarian,Southern Conference
University of Miami,Hurricanes,Coral Gables,Florida,Private/Non-Sectarian,Atlantic Coast Conference
Miami University,Redhawks,Oxford,Ohio,State,Mid-American Conference
University of Michigan,Wolverines,Ann Arbor,Michigan,State,Big Ten Conference
Michigan State University,Spartans,East Lansing,Michigan,State,Big Ten Conference
Middle Tennessee State University,Blue Raiders,Murfreesboro,Tennessee,State,Conference USA
University of Minnesota,Golden Gophers,Minneapolis–Saint Paul,Minnesota,State,Big Ten Conference
University of Mississippi,Rebels,Oxford,Mississippi,State,Southeastern Conference
Mississippi State University,Bulldogs,Starkville,Mississippi,State,Southeastern Conference
Mississippi Valley State University,Delta Devils and Devilettes,Itta Bena,Mississippi,State,Southwestern Athletic Conference
University of Missouri,Tigers,Columbia,Missouri,State,Southeastern Conference
University of Missouri–Kansas City,Kangaroos,Kansas City,Missouri,State,Western Athletic Conference
Missouri State University,Bears and Lady Bears,Springfield,Missouri,State,Missouri Valley Conference[h]
Monmouth University,Hawks,West Long Branch,New Jersey,Private/Non-Sectarian,Metro Atlantic Athletic Conference[i]
University of Montana,Grizzlies,Missoula,Montana,State,Big Sky Conference
Montana State University,Bobcats,Bozeman,Montana,State,Big Sky Conference
Morehead State University,Eagles,Morehead,Kentucky,State,Ohio Valley Conference[a]
Morgan State University,Bears and Lady Bears,Baltimore,Maryland,State,Mid-Eastern Athletic Conference
Mount St. Mary's University,Mountaineers,Emmitsburg,Maryland,Private/Catholic,Northeast Conference
Murray State University,Racers,Murray,Kentucky,State,Ohio Valley Conference
University of Nebraska–Lincoln,Cornhuskers,Lincoln,Nebraska,State,Big Ten Conference
University of Nebraska Omaha,Mavericks,Omaha,Nebraska,State,The Summit League
"University of Nevada, Las Vegas ",Rebels,Paradise,Nevada,State,Mountain West Conference
"University of Nevada, Reno ",Wolf Pack,Reno,Nevada,State,Mountain West Conference
University of New Hampshire,Wildcats,Durham,New Hampshire,State,America East Conference
New Jersey Institute of Technology,Highlanders,Newark,New Jersey,State,Atlantic Sun Conference
University of New Mexico,Lobos,Albuquerque,New Mexico,State,Mountain West Conference
New Mexico State University,Aggies,Las Cruces,New Mexico,State,Western Athletic Conference[l]
University of New Orleans,Privateers,New Orleans,Louisiana,State,Southland Conference
Niagara University,Purple Eagles,Lewiston,New York,Private/Catholic,Metro Atlantic Athletic Conference
Nicholls State University,Colonels,Thibodaux,Louisiana,State,Southland Conference
Norfolk State University,Spartans,Norfolk,Virginia,State,Mid-Eastern Athletic Conference
North Carolina Agricultural and Technical State University,Aggies,Greensboro,North Carolina,State,Mid-Eastern Athletic Conference
University of North Carolina at Asheville,Bulldogs,Asheville,North Carolina,State,Big South Conference
North Carolina Central University,Eagles,Durham,North Carolina,State,Mid-Eastern Athletic Conference
University of North Carolina at Chapel Hill,Tar Heels,Chapel Hill,North Carolina,State,Atlantic Coast Conference
University of North Carolina at Charlotte,49ers,Charlotte,North Carolina,State,Conference USA
University of North Carolina at Greensboro,Spartans,Greensboro,North Carolina,State,Southern Conference
North Carolina State University,Wolfpack,Raleigh,North Carolina,State,Atlantic Coast Conference
University of North Carolina at Wilmington,Seahawks,Wilmington,North Carolina,State,Colonial Athletic Association
University of North Dakota,Fighting Hawks,Grand Forks,North Dakota,State,The Summit League[m]
North Dakota State University,Bison,Fargo,North Dakota,State,The Summit League[h]
University of North Florida,Ospreys and Lady Ospreys,Jacksonville,Florida,State,Atlantic Sun Conference
University of North Texas,Mean Green,Denton,Texas,State,Conference USA
Northeastern University,Huskies,Boston,Massachusetts,Private/Non-Sectarian,Colonial Athletic Association
Northern Arizona University,Lumberjacks,Flagstaff,Arizona,State,Big Sky Conference
University of Northern Colorado,Bears,Greeley,Colorado,State,Big Sky Conference
Northern Illinois University,Huskies,DeKalb,Illinois,State,Mid-American Conference
University of Northern Iowa,Panthers,Cedar Falls,Iowa,State,Missouri Valley Conference[h]
Northern Kentucky University,Norse,Highland Heights,Kentucky,State,Horizon League
Northwestern University,Wildcats,Evanston,Illinois,Private/Non-Sectarian,Big Ten Conference
Northwestern State University,Demons and Lady Demons,Natchitoches,Louisiana,State,Southland Conference
University of Notre Dame,Fighting Irish,South Bend,Indiana,Private/Catholic,Atlantic Coast Conference[n]
Oakland University,Golden Grizzlies,Rochester,Michigan,State,Horizon League
Ohio University,Bobcats,Athens,Ohio,State,Mid-American Conference
The Ohio State University,Buckeyes,Columbus,Ohio,State,Big Ten Conference
University of Oklahoma,Sooners,Norman,Oklahoma,State,Big 12 Conference
Oklahoma State University–Stillwater,Cowboys and Cowgirls,Stillwater,Oklahoma,State,Big 12 Conference
Old Dominion University,Monarchs and Lady Monarchs,Norfolk,Virginia,State,Conference USA
Oral Roberts University,Golden Eagles,Tulsa,Oklahoma,Private/Christian,The Summit League
University of Oregon,Ducks,Eugene,Oregon,State,Pac-12 Conference
Oregon State University,Beavers,Corvallis,Oregon,State,Pac-12 Conference
University of the Pacific,Tigers,Stockton,California,Private/Methodist,West Coast Conference
University of Pennsylvania,Quakers,Philadelphia,Pennsylvania,Private/Non-Sectarian,Ivy League
Pennsylvania State University,Nittany Lions,State College,Pennsylvania,State-related,Big Ten Conference
Pepperdine University,Waves,Malibu,California,Private/Churches of Christ,West Coast Conference
University of Pittsburgh,Panthers,Pittsburgh,Pennsylvania,State-related,Atlantic Coast Conference
University of Portland,Pilots,Portland,Oregon,Private/Catholic,West Coast Conference
Portland State University,Vikings,Portland,Oregon,State,Big Sky Conference
Prairie View A&M University,Panthers and Lady Panthers,Prairie View,Texas,State,Southwestern Athletic Conference
Presbyterian College,Blue Hose,Clinton,South Carolina,Private/Presbyterian,Big South Conference[o]
Princeton University,Tigers,Princeton,New Jersey,Private/Non-Sectarian,Ivy League
Providence College,Friars,Providence,Rhode Island,Private/Catholic,Big East Conference
Purdue University,Boilermakers,West Lafayette,Indiana,State,Big Ten Conference
Purdue University Fort Wayne[p],Mastodons,Fort Wayne,Indiana,State,The Summit League
Quinnipiac University,Bobcats,Hamden,Connecticut,Private/Non-Sectarian,Metro Atlantic Athletic Conference
Radford University,Highlanders,Radford,Virginia,State,Big South Conference
University of Rhode Island,Rams,Kingston,Rhode Island,State,Atlantic 10 Conference
Rice University,Owls,Houston,Texas,Private/Non-Sectarian,Conference USA
University of Richmond,Spiders,Richmond,Virginia,Private/Non-Sectarian,Atlantic 10 Conference
Rider University,Broncs,Lawrenceville,New Jersey,Private/Non-Sectarian,Metro Atlantic Athletic Conference
Robert Morris University,Colonials,Moon Township,Pennsylvania,Private/Non-Sectarian,Northeast Conference
Rutgers University,Scarlet Knights,New Brunswick,New Jersey,State-private hybrid,Big Ten Conference
Sacred Heart University,Pioneers,Fairfield,Connecticut,Private/Catholic,Northeast Conference
St. Bonaventure University,Bonnies,St. Bonaventure,New York,Private/Catholic,Atlantic 10 Conference
St. Francis College,Terriers,Brooklyn,New York,Private/Catholic,Northeast Conference
Saint Francis University,Red Flash,Loretto,Pennsylvania,Private/Catholic,Northeast Conference
St. John's University,Red Storm,Jamaica,New York,Private/Catholic,Big East Conference
Saint Joseph's University,Hawks,Philadelphia,Pennsylvania,Private/Catholic,Atlantic 10 Conference
Saint Louis University,Billikens,St. Louis,Missouri,Private/Catholic,Atlantic 10 Conference
Saint Mary's College of California,Gaels,Moraga,California,Private/Catholic,West Coast Conference
Saint Peter's University,Peacocks and Peahens,Jersey City,New Jersey,Private/Catholic,Metro Atlantic Athletic Conference
Sam Houston State University,Bearkats,Huntsville,Texas,State,Southland Conference
Samford University,Bulldogs,Homewood,Alabama,Private/Baptist,Southern Conference
University of San Diego,Toreros,San Diego,California,Private/Catholic,West Coast Conference[a]
San Diego State University,Aztecs,San Diego,California,State,Mountain West Conference
University of San Francisco,Dons,San Francisco,California,Private/Catholic,West Coast Conference
San Jose State University,Spartans,San Jose,California,State,Mountain West Conference
Santa Clara University,Broncos,Santa Clara,California,Private/Catholic,West Coast Conference
Savannah State University,Tigers and Lady Tigers,Savannah,Georgia,State,Mid-Eastern Athletic Conference[q]
Seattle University,Redhawks,Seattle,Washington,Private/Catholic,Western Athletic Conference
Seton Hall University,Pirates,South Orange,New Jersey,Private/Catholic,Big East Conference
Siena College,Saints,Loudonville,New York,Private/Catholic,Metro Atlantic Athletic Conference
University of South Alabama,Jaguars,Mobile,Alabama,State,Sun Belt Conference
University of South Carolina,Gamecocks,Columbia,South Carolina,State,Southeastern Conference
South Carolina State University,Bulldogs and Lady Bulldogs,Orangeburg,South Carolina,State,Mid-Eastern Athletic Conference
University of South Carolina Upstate,Spartans,Spartanburg,South Carolina,State,Big South Conference
University of South Dakota,Coyotes,Vermillion,South Dakota,State,The Summit League[h]
South Dakota State University,Jackrabbits,Brookings,South Dakota,State,The Summit League[h]
University of South Florida,Bulls,Tampa,Florida,State,American Athletic Conference
Southeast Missouri State University,Redhawks,Cape Girardeau,Missouri,State,Ohio Valley Conference
Southeastern Louisiana University,Lions and Lady Lions,Hammond,Louisiana,State,Southland Conference
Southern University,Jaguars and Lady Jaguars,Baton Rouge,Louisiana,State,Southwestern Athletic Conference
University of Southern California,Trojans,Los Angeles,California,Private/Non-Sectarian,Pac-12 Conference
Southern Illinois University Carbondale,Salukis,Carbondale,Illinois,State,Missouri Valley Conference[h]
Southern Illinois University Edwardsville,Cougars,Edwardsville,Illinois,State,Ohio Valley Conference
Southern Methodist University,Mustangs,University Park,Texas,Private/Methodist,American Athletic Conference
University of Southern Mississippi,Golden Eagles and Lady Eagles,Hattiesburg,Mississippi,State,Conference USA
Southern Utah University,Thunderbirds,Cedar City,Utah,State,Big Sky Conference
Stanford University,Cardinal,Palo Alto,California,Private/Non-Sectarian,Pac-12 Conference
Stephen F. Austin State University,Lumberjacks and Ladyjacks,Nacogdoches,Texas,State,Southland Conference
Stetson University,Hatters,DeLand,Florida,Private/Non-Sectarian,Atlantic Sun Conference[a]
Stony Brook University,Seawolves,Stony Brook,New York,State,America East Conference
Syracuse University,Orange,Syracuse,New York,Private/Methodist,Atlantic Coast Conference
Temple University,Owls,Philadelphia,Pennsylvania,State-related,American Athletic Conference
University of Tennessee,Volunteers and Lady Vols,Knoxville,Tennessee,State,Southeastern Conference
University of Tennessee at Chattanooga,Mocs and Lady Mocs,Chattanooga,Tennessee,State,Southern Conference
University of Tennessee at Martin,Skyhawks,Martin,Tennessee,State,Ohio Valley Conference
Tennessee State University,Tigers and Lady Tigers,Nashville,Tennessee,State,Ohio Valley Conference
Tennessee Technological University,Golden Eagles,Cookeville,Tennessee,State,Ohio Valley Conference
Texas A&M University,Aggies,College Station,Texas,State,Southeastern Conference
Texas A&M University–Corpus Christi,Islanders,Corpus Christi,Texas,State,Southland Conference
University of Texas at Arlington,Mavericks,Arlington,Texas,State,Sun Belt Conference
University of Texas at Austin,Longhorns,Austin,Texas,State,Big 12 Conference
Texas Christian University,Horned Frogs and Lady Frogs,Fort Worth,Texas,Private/Disciples of Christ,Big 12 Conference
University of Texas at El Paso,Miners,El Paso,Texas,State,Conference USA
University of Texas Rio Grande Valley,Vaqueros,Edinburg,Texas,State,Western Athletic Conference
University of Texas at San Antonio,Roadrunners,San Antonio,Texas,State,Conference USA
Texas Southern University,Tigers and Lady Tigers,Houston,Texas,State,Southwestern Athletic Conference
Texas State University,Bobcats,San Marcos,Texas,State,Sun Belt Conference
Texas Tech University,Red Raiders,Lubbock,Texas,State,Big 12 Conference
University of Toledo,Rockets,Toledo,Ohio,State,Mid-American Conference
Towson University,Tigers,Towson,Maryland,State,Colonial Athletic Association
Troy University,Trojans,Troy,Alabama,State,Sun Belt Conference
Tulane University,Green Wave,New Orleans,Louisiana,Private/Non-Sectarian,American Athletic Conference
University of Tulsa,Golden Hurricane,Tulsa,Oklahoma,Private/Presbyterian,American Athletic Conference
United States Air Force Academy (Air Force),Falcons,Colorado Springs,Colorado,Federal academy,Mountain West Conference
United States Military Academy (Army),Black Knights,West Point,New York,Federal academy,Patriot League[r]
United States Naval Academy (Navy),Midshipmen,Annapolis,Maryland,Federal academy,Patriot League[s]
University of Utah,Utes,Salt Lake City,Utah,State,Pac-12 Conference
Utah State University,Aggies,Logan,Utah,State,Mountain West Conference
Utah Valley University,Wolverines,Orem,Utah,State,Western Athletic Conference
Valparaiso University,Crusaders,Valparaiso,Indiana,Private/Lutheran,Missouri Valley Conference[a]
Vanderbilt University,Commodores,Nashville,Tennessee,Private/Non-Sectarian,Southeastern Conference
University of Vermont,Catamounts,Burlington,Vermont,State,America East Conference
Villanova University,Wildcats,Radnor Township,Pennsylvania,Private/Catholic,Big East Conference
University of Virginia,Cavaliers,Charlottesville,Virginia,State,Atlantic Coast Conference
Virginia Commonwealth University,Rams,Richmond,Virginia,State,Atlantic 10 Conference
Virginia Military Institute,Keydets,Lexington,Virginia,State,Southern Conference
Virginia Tech,Hokies,Blacksburg,Virginia,State,Atlantic Coast Conference
Wagner College,Seahawks,Staten Island,New York,Private/Lutheran,Northeast Conference
Wake Forest University,Demon Deacons,Winston-Salem,North Carolina,Private/Non-Sectarian,Atlantic Coast Conference
University of Washington,Huskies,Seattle,Washington,State,Pac-12 Conference
Washington State University,Cougars,Pullman,Washington,State,Pac-12 Conference
Weber State University,Wildcats,Ogden,Utah,State,Big Sky Conference
West Virginia University,Mountaineers,Morgantown,West Virginia,State,Big 12 Conference
Western Carolina University,Catamounts,Cullowhee,North Carolina,State,Southern Conference
Western Illinois University,Leathernecks,Macomb,Illinois,State,The Summit League[h]
Western Kentucky University,Hilltoppers and Lady Toppers,Bowling Green,Kentucky,State,Conference USA
Western Michigan University,Broncos,Kalamazoo,Michigan,State,Mid-American Conference
Wichita State University,Shockers,Wichita,Kansas,State,American Athletic Conference
College of William & Mary,Tribe,Williamsburg,Virginia,State,Colonial Athletic Association
Winthrop University,Eagles,Rock Hill,South Carolina,State,Big South Conference
University of Wisconsin–Green Bay,Phoenix,Green Bay,Wisconsin,State,Horizon League
