School,Nickname,City,State/Province,Conference
"California State University, Los Angeles",Golden Eagles,Los Angeles,California,California Collegiate Athletic Association
"California State University, Monterey Bay",Otters,Seaside,California,California Collegiate Athletic Association
"California State University, San Bernardino",Coyotes,San Bernardino,California,California Collegiate Athletic Association
California State University San Marcos,Cougars,San Marcos,California,California Collegiate Athletic Association
"California State University, Stanislaus",Warriors,Turlock,California,California Collegiate Athletic Association
"University of California, San Diego",Tritons,La Jolla,California,California Collegiate Athletic Association
Cameron University,Aggies,Lawton,Oklahoma,Lone Star Conference
Carson–Newman University,Eagles,Jefferson City,Tennessee,South Atlantic Conference
Catawba College,Indians,Salisbury,North Carolina,South Atlantic Conference
Cedarville University,Yellow Jackets,Cedarville,Ohio,Great Midwest Athletic Conference
University of Central Missouri,Mules & Jennies,Warrensburg,Missouri,Mid-America Intercollegiate Athletics Association
University of Central Oklahoma,Bronchos,Edmond,Oklahoma,Mid-America Intercollegiate Athletics Association
Central State University,Marauders & Lady Marauders,Wilberforce,Ohio,Southern Intercollegiate Athletic Conference
Central Washington University,Wildcats,Ellensburg,Washington,Great Northwest Athletic Conference
Chadron State College,Eagles,Chadron,Nebraska,Rocky Mountain Athletic Conference
Chaminade University of Honolulu,Silverswords,Honolulu,Hawai'i,Pacific West Conference
University of Charleston,Golden Eagles,Charleston,West Virginia,Mountain East Conference
Chestnut Hill College,Griffins,Philadelphia,Pennsylvania,Central Atlantic Collegiate Conference
Chowan University,Hawks,Murfreesboro,North Carolina,Central Intercollegiate Athletic Association
Christian Brothers University,Buccaneers,Memphis,Tennessee,Gulf South Conference
Claflin University,Panthers,Orangeburg,South Carolina,Central Intercollegiate Athletic Association
Clarion University of Pennsylvania,Golden Eagles,Clarion,Pennsylvania,Pennsylvania State Athletic Conference
Clark Atlanta University,Panthers,Atlanta,Georgia,Southern Intercollegiate Athletic Conference
Clayton State University,Lakers,Morrow,Georgia,Peach Belt Conference
Coker College,Cobras,Hartsville,South Carolina,South Atlantic Conference
Colorado Christian University,Cougars,Lakewood,Colorado,Rocky Mountain Athletic Conference
Colorado Mesa University,Mavericks,Grand Junction,Colorado,Rocky Mountain Athletic Conference
Colorado School of Mines,Orediggers,Golden,Colorado,Rocky Mountain Athletic Conference
Colorado State University–Pueblo,ThunderWolves,Pueblo,Colorado,Rocky Mountain Athletic Conference
University of Colorado Colorado Springs,Mountain Lions,Colorado Springs,Colorado,Rocky Mountain Athletic Conference
Columbus State University,Cougars,Columbus,Georgia,Peach Belt Conference
Concord University,Mountain Lions,Athens,West Virginia,Mountain East Conference
Concordia College,Clippers,Bronxville,New York,Central Atlantic Collegiate Conference
Concordia University–Irvine,Eagles,Irvine,California,Pacific West Conference
Concordia University–Portland,Cavaliers,Portland,Oregon,Great Northwest Athletic Conference
Concordia University–St. Paul,Golden Bears,St. Paul,Minnesota,Northern Sun Intercollegiate Conference
Converse College,Valkyries,Spartanburg,South Carolina,Conference Carolinas
Daemen College,Wildcats,Amherst,New York,East Coast Conference
Dallas Baptist University,Patriots,Dallas,Texas,Heartland Conference
Davis & Elkins College,Senators,Elkins,West Virginia,Great Midwest Athletic Conference
Delta State University,Statesmen & Lady Statesmen,Cleveland,Mississippi,Gulf South Conference
University of the District of Columbia,Firebirds,Washington,District of Columbia,East Coast Conference
Dixie State University,Trailblazers,St. George,Utah,Rocky Mountain Athletic Conference
Dominican University of California,Penguins,San Rafael,California,Pacific West Conference
Dominican College,Chargers,Orangeburg,New York,Central Atlantic Collegiate Conference
Drury University,Panthers,Springfield,Missouri,Great Lakes Valley Conference
East Central University,Tigers,Ada,Oklahoma,Great American Conference
East Stroudsburg University of Pennsylvania,Warriors,East Stroudsburg,Pennsylvania,Pennsylvania State Athletic Conference
Eastern New Mexico University,Greyhounds,Portales,New Mexico,Lone Star Conference
Eckerd College,Tritons,St. Petersburg,Florida,Sunshine State Conference
Edinboro University of Pennsylvania,Fighting Scots,Edinboro,Pennsylvania,Pennsylvania State Athletic Conference
Elizabeth City State University,Vikings,Elizabeth City,North Carolina,Central Intercollegiate Athletic Association
Embry–Riddle Aeronautical University,Eagles,Daytona Beach,Florida,Sunshine State Conference
Emporia State University,Hornets,Emporia,Kansas,Mid-America Intercollegiate Athletics Association
Erskine College,Flying Fleet,Due West,South Carolina,Conference Carolinas
Fairmont State University,Falcons,Fairmont,West Virginia,Mountain East Conference
Fayetteville State University,Broncos,Fayetteville,North Carolina,Central Intercollegiate Athletic Association
Felician University,Golden Falcons,Rutherford,New Jersey,Central Atlantic Collegiate Conference
Ferris State University,Bulldogs,Big Rapids,Michigan,Great Lakes Intercollegiate Athletic Conference
University of Findlay,Oilers,Findlay,Ohio,Great Midwest Athletic Conference
Flagler College,Saints,St. Augustine,Florida,Peach Belt Conference
Florida Southern College,Moccasins,Lakeland,Florida,Sunshine State Conference
Florida Institute of Technology,Panthers,Melbourne,Florida,Sunshine State Conference
Fort Hays State University,Tigers,Hays,Kansas,Mid-America Intercollegiate Athletics Association
Fort Lewis College,Skyhawks,Durango,Colorado,Rocky Mountain Athletic Conference
Fort Valley State University,Wildcats,Fort Valley,Georgia,Southern Intercollegiate Athletic Conference
Francis Marion University,Patriots,Florence,South Carolina,Peach Belt Conference
Franklin Pierce University,Ravens,Rindge,New Hampshire,Northeast-10 Conference
Fresno Pacific University,Sunbirds,Fresno,California,Pacific West Conference
Gannon University,Golden Knights,Erie,Pennsylvania,Pennsylvania State Athletic Conference
Georgia College & State University,Bobcats,Milledgeville,Georgia,Peach Belt Conference
Georgia Southwestern State University,Hurricanes,Americus,Georgia,Peach Belt Conference
Georgian Court University,Lions,Lakewood,New Jersey,Central Atlantic Collegiate Conference
Glenville State College,Pioneers,Glenville,West Virginia,Mountain East Conference
Goldey–Beacom College,Lightning,Pike Creek Valley,Delaware,Central Atlantic Collegiate Conference
Grand Valley State University,Lakers,Allendale,Michigan,Great Lakes Intercollegiate Athletic Conference
Harding University,Bisons & Lady Bisons,Searcy,Arkansas,Great American Conference
Hawai'i Pacific University,Sharks,Honolulu,Hawai'i,Pacific West Conference
University of Hawai'i at Hilo,Vulcans,Hilo,Hawai'i,Pacific West Conference
Henderson State University,Reddies,Arkadelphia,Arkansas,Great American Conference
Hillsdale College,Chargers,Hillsdale,Michigan,Great Midwest Athletic Conference
Holy Family University,Tigers,Philadelphia,Pennsylvania,Central Atlantic Collegiate Conference
Holy Names University,Hawks,Oakland,California,Pacific West Conference
Humboldt State University,Lumberjacks,Arcata,California,California Collegiate Athletic Association
University of Illinois at Springfield,Prairie Stars,Springfield,Illinois,Great Lakes Valley Conference
Indiana University of Pennsylvania,Crimson Hawks,Indiana,Pennsylvania,Pennsylvania State Athletic Conference
University of Indianapolis,Greyhounds,Indianapolis,Indiana,Great Lakes Valley Conference
Johnson C. Smith University,Golden Bulls,Charlotte,North Carolina,Central Intercollegiate Athletic Association
Kentucky State University,Thorobreds & Thorobrettes,Frankfort,Kentucky,Southern Intercollegiate Athletic Conference
Kentucky Wesleyan College,Panthers,Owensboro,Kentucky,Great Midwest Athletic Conference
King University,Tornados,Bristol,Tennessee,Conference Carolinas
Kutztown University of Pennsylvania,Golden Bears,Kutztown,Pennsylvania,Pennsylvania State Athletic Conference
Lake Erie College,Storm,Painesville,Ohio,Great Midwest Athletic Conference
Lake Superior State University,Lakers,Sault Ste. Marie,Michigan,Great Lakes Intercollegiate Athletic Conference
Lander University,Bearcats,Greenwood,South Carolina,Peach Belt Conference
Lane College,Dragons,Jackson,Tennessee,Southern Intercollegiate Athletic Conference
Le Moyne College,Dolphins,Syracuse,New York,Northeast-10 Conference
Lee University,Flames,Cleveland,Tennessee,Gulf South Conference
Lees–McRae College,Bobcats,Banner Elk,North Carolina,Conference Carolinas
LeMoyne–Owen College,Magicians,Memphis,Tennessee,Southern Intercollegiate Athletic Conference
Lenoir–Rhyne University,Bears,Hickory,North Carolina,South Atlantic Conference
Lewis University,Flyers,Romeoville,Illinois,Great Lakes Valley Conference
Limestone College,Saints,Gaffney,South Carolina,Conference Carolinas
Lincoln University (MO),Blue Tigers,Jefferson City,Missouri,Mid-America Intercollegiate Athletics Association
Lincoln University (PA),Lions,Chester County,Pennsylvania,Central Intercollegiate Athletic Association
Lincoln Memorial University,Railsplitters,Harrogate,Tennessee,South Atlantic Conference
Lindenwood University,Lions & Lady Lions,St. Charles,Missouri,Mid-America Intercollegiate Athletics Association
Livingstone College,Blue Bears,Salisbury,North Carolina,Central Intercollegiate Athletic Association
Lock Haven University of Pennsylvania,Bald Eagles,Lock Haven,Pennsylvania,Pennsylvania State Athletic Conference
Long Island University–Post,Pioneers,Brookville,New York,East Coast Conference
Lubbock Christian University,Chaparrals & Lady Chaps,Lubbock,Texas,Heartland Conference
Lynn University,Fighting Knights,Boca Raton,Florida,Sunshine State Conference
Malone University,Pioneers,Canton,Ohio,Great Midwest Athletic Conference
Mansfield University of Pennsylvania,Mountaineers,Mansfield,Pennsylvania,Pennsylvania State Athletic Conference
Mars Hill University,Lions,Mars Hill,North Carolina,South Atlantic Conference
University of Mary,Marauders,Bismarck,North Dakota,Northern Sun Intercollegiate Conference
Maryville University,Saints,St. Louis,Missouri,Great Lakes Valley Conference
McKendree University,Bearcats,Lebanon,Illinois,Great Lakes Valley Conference
Mercy College,Mavericks,Dobbs Ferry,New York,East Coast Conference
Mercyhurst University,Lakers,Erie,Pennsylvania,Pennsylvania State Athletic Conference
Merrimack College,Warriors,North Andover,Massachusetts,Northeast-10 Conference
Metropolitan State University of Denver,Roadrunners,Denver,Colorado,Rocky Mountain Athletic Conference
Michigan Technological University,Huskies,Houghton,Michigan,Great Lakes Intercollegiate Athletic Conference
Midwestern State University,Mustangs,Wichita Falls,Texas,Lone Star Conference
Miles College,Golden Bears,Fairfield,Alabama,Southern Intercollegiate Athletic Conference
Millersville University of Pennsylvania,Marauders,Millersville,Pennsylvania,Pennsylvania State Athletic Conference
"Minnesota State University, Mankato",Mavericks,Mankato,Minnesota,Northern Sun Intercollegiate Conference
Minnesota State University Moorhead,Dragons,Moorhead,Minnesota,Northern Sun Intercollegiate Conference
University of Minnesota Crookston,Golden Eagles,Crookston,Minnesota,Northern Sun Intercollegiate Conference
University of Minnesota Duluth,Bulldogs,Duluth,Minnesota,Northern Sun Intercollegiate Conference
Minot State University,Beavers,Minot,North Dakota,Northern Sun Intercollegiate Conference
Mississippi College,Choctaws,Clinton,Mississippi,Gulf South Conference
Missouri University of Science and Technology,Miners,Rolla,Missouri,Great Lakes Valley Conference
Missouri Southern State University,Lions,Joplin,Missouri,Mid-America Intercollegiate Athletics Association
Missouri Western State University,Griffons,St. Joseph,Missouri,Mid-America Intercollegiate Athletics Association
University of Missouri – St. Louis,Tritons,St. Louis,Missouri,Great Lakes Valley Conference
Molloy College,Lions,Rockville Centre,New York,East Coast Conference
Montana State University Billings,Yellowjackets,Billings,Montana,Great Northwest Athletic Conference
University of Montevallo,Falcons,Montevallo,Alabama,Gulf South Conference
Morehouse College,Maroon Tigers,Atlanta,Georgia,Southern Intercollegiate Athletic Conference
University of Mount Olive,Trojans,Mount Olive,North Carolina,Conference Carolinas
University of Nebraska at Kearney,Lopers,Kearney,Nebraska,Mid-America Intercollegiate Athletics Association
University of New Haven,Chargers,West Haven,Connecticut,Northeast-10 Conference
New Mexico Highlands University,Cowboys & Cowgirls,Las Vegas,New Mexico,Rocky Mountain Athletic Conference
New York Institute of Technology,Bears,Old Westbury,New York,East Coast Conference
Newberry College,Wolves,Newberry,South Carolina,South Atlantic Conference
Newman University,Jets,Wichita,Kansas,Heartland Conference
University of North Carolina at Pembroke,Braves,Pembroke,North Carolina,Peach Belt Conference
University of North Georgia,Nighthawks,Dahlonega,Georgia,Peach Belt Conference
North Greenville University,Crusaders,Tigerville,South Carolina,Conference Carolinas
Northeastern State University,RiverHawks,Tahlequah,Oklahoma,Mid-America Intercollegiate Athletics Association
Northern Michigan University,Wildcats,Marquette,Michigan,Great Lakes Intercollegiate Athletic Conference
Northern State University,Wolves,Aberdeen,South Dakota,Northern Sun Intercollegiate Conference
Northwest Missouri State University,Bearcats,Maryville,Missouri,Mid-America Intercollegiate Athletics Association
Northwest Nazarene University,Crusaders,Nampa,Idaho,Great Northwest Athletic Conference
Northwestern Oklahoma State University,Rangers,Alva,Oklahoma,Great American Conference
Northwood University,Timberwolves,Midland,Michigan,Great Lakes Intercollegiate Athletic Conference
Notre Dame College,Falcons,South Euclid,Ohio,Mountain East Conference
Notre Dame de Namur University,Argonauts,Belmont,California,Pacific West Conference
Nova Southeastern University,Sharks,Davie,Florida,Sunshine State Conference
Nyack College,Warriors,Nyack,New York,Central Atlantic Collegiate Conference
Oakland City University,Mighty Oaks,Oakland City,Indiana,Independent
Ohio Dominican University,Panthers,Columbus,Ohio,Great Midwest Athletic Conference
Ohio Valley University,Fighting Scots,Vienna,West Virginia,Great Midwest Athletic Conference
Oklahoma Baptist University,Bison,Shawnee,Oklahoma,Great American Conference
Oklahoma Christian University,Eagles & Lady Eagles,Oklahoma City,Oklahoma,Heartland Conference
Ouachita Baptist University,Tigers,Arkadelphia,Arkansas,Great American Conference
Pace University,Setters,Pleasantville,New York,Northeast-10 Conference
Paine College,Lions,Augusta,Georgia,Southern Intercollegiate Athletic Conference
Palm Beach Atlantic University,Sailfish,West Palm Beach,Florida,Sunshine State Conference
Pittsburg State University,Gorillas,Pittsburg,Kansas,Mid-America Intercollegiate Athletics Association
University of Pittsburgh at Johnstown,Mountain Cats,Johnstown,Pennsylvania,Pennsylvania State Athletic Conference
Point Loma Nazarene University,Sea Lions,San Diego,California,Pacific West Conference
Post University,Eagles,Waterbury,Connecticut,Central Atlantic Collegiate Conference
Queens University of Charlotte,Royals,Charlotte,North Carolina,South Atlantic Conference
Queens College,Knights,Flushing,New York,East Coast Conference
Quincy University,Hawks,Quincy,Illinois,Great Lakes Valley Conference
Regis University,Rangers,Denver,Colorado,Rocky Mountain Athletic Conference
Roberts Wesleyan College,Redhawks,North Chili,New York,East Coast Conference
Rockhurst University,Hawks,Kansas City,Missouri,Great Lakes Valley Conference
Rogers State University,Hillcats,Claremore,Oklahoma,Heartland Conference
Rollins College,Tars,Winter Park,Florida,Sunshine State Conference
Saginaw Valley State University,Cardinals,University Center,Michigan,Great Lakes Intercollegiate Athletic Conference
Saint Anselm College,Hawks,Goffstown,New Hampshire,Northeast-10 Conference
Saint Augustine's University,Falcons,Raleigh,North Carolina,Central Intercollegiate Athletic Association
St. Cloud State University,Huskies,St. Cloud,Minnesota,Northern Sun Intercollegiate Conference
St. Edward's University,Hilltoppers,Austin,Texas,Heartland Conference
Saint Leo University,Lions,St. Leo,Florida,Sunshine State Conference
Saint Martin's University,Saints,Lacey,Washington,Great Northwest Athletic Conference
St. Mary's University,Rattlers,San Antonio,Texas,Heartland Conference
Saint Michael's College,Purple Knights,Colchester,Vermont,Northeast-10 Conference
College of Saint Rose,Golden Knights,Albany,New York,Northeast-10 Conference
St. Thomas Aquinas College,Spartans,Sparkill,New York,East Coast Conference
Salem University,Tigers,Salem,West Virginia,Independent
San Francisco State University,Gators,San Francisco,California,California Collegiate Athletic Association
University of the Sciences,Devils,Philadelphia,Pennsylvania,Central Atlantic Collegiate Conference
Seattle Pacific University,Falcons,Seattle,Washington,Great Northwest Athletic Conference
Seton Hill University,Griffins,Greensburg,Pennsylvania,Pennsylvania State Athletic Conference
Shaw University,Bears,Raleigh,North Carolina,Central Intercollegiate Athletic Association
Shepherd University,Rams,Shepherdstown,West Virginia,Mountain East Conference
Shippensburg University of Pennsylvania,Raiders,Shippensburg,Pennsylvania,Pennsylvania State Athletic Conference
Shorter University,Hawks,Rome,Georgia,Gulf South Conference
Simon Fraser University,Clan,Burnaby,British Columbia,Great Northwest Athletic Conference
University of Sioux Falls,Cougars,Sioux Falls,South Dakota,Northern Sun Intercollegiate Conference
Slippery Rock University of Pennsylvania,The Rock,Slippery Rock,Pennsylvania,Pennsylvania State Athletic Conference
Sonoma State University,Seawolves,Rohnert Park,California,California Collegiate Athletic Association
University of South Carolina Aiken,Pacers,Aiken,South Carolina,Peach Belt Conference
South Dakota School of Mines and Technology,Hardrockers,Rapid City,South Dakota,Rocky Mountain Athletic Conference
Southeastern Oklahoma State University,Savage Storm,Durant,Oklahoma,Great American Conference
Southern Arkansas University,Muleriders,Magnolia,Arkansas,Great American Conference
Southern Connecticut State University,Owls,New Haven,Connecticut,Northeast-10 Conference
University of Southern Indiana,Screaming Eagles,Evansville,Indiana,Great Lakes Valley Conference
Southern Nazarene University,Crimson Storm,Bethany,Oklahoma,Great American Conference
Southern New Hampshire University,Penmen,Manchester,New Hampshire,Northeast-10 Conference
Southern Wesleyan University,Warriors,Central,South Carolina,Conference Carolinas
Southwest Baptist University,Bearcats,Bolivar,Missouri,Mid-America Intercollegiate Athletics Association
Southwest Minnesota State University,Mustangs,Marshall,Minnesota,Northern Sun Intercollegiate Conference
Southwestern Oklahoma State University,Bulldogs,Weatherford,Oklahoma,Great American Conference
Stonehill College,Skyhawks,Easton,Massachusetts,Northeast-10 Conference
University of Tampa,Spartans,Tampa,Florida,Sunshine State Conference
Tarleton State University,Texans & TexAnns,Stephenville,Texas,Lone Star Conference
Texas A&M University–Commerce,Lions,Commerce,Texas,Lone Star Conference
Texas A&M University–Kingsville,Javelinas,Kingsville,Texas,Lone Star Conference
Texas A&M International University,Dustdevils,Laredo,Texas,Heartland Conference
Texas Woman's University,Pioneers,Denton,Texas,Lone Star Conference
University of Texas of the Permian Basin,Falcons,Odessa,Texas,Lone Star Conference
Thomas Jefferson University,Rams,Philadelphia,Pennsylvania,Central Atlantic Collegiate Conference
Tiffin University,Dragons,Tiffin,Ohio,Great Midwest Athletic Conference
Trevecca Nazarene University,Trojans,Nashville,Tennessee,Great Midwest Athletic Conference
Truman State University,Bulldogs,Kirksville,Missouri,Great Lakes Valley Conference
Tusculum College,Pioneers,Greeneville,Tennessee,South Atlantic Conference
Tuskegee University,Golden Tigers,Tuskegee,Alabama,Southern Intercollegiate Athletic Conference
Union University,Bulldogs,Jackson,Tennessee,Gulf South Conference
Upper Iowa University,Peacocks,Fayette,Iowa,Northern Sun Intercollegiate Conference
Urbana University,Blue Knights,Urbana,Ohio,Mountain East Conference
Ursuline College,Arrows,Pepper Pike,Ohio,Great Midwest Athletic Conference
Valdosta State University,Blazers,Valdosta,Georgia,Gulf South Conference
Virginia State University,Trojans,Ettrick,Virginia,Central Intercollegiate Athletic Association
Virginia Union University,Panthers,Richmond,Virginia,Central Intercollegiate Athletic Association
University of Virginia's College at Wise,Highland Cavaliers,Wise,Virginia,Mountain East Conference
Walsh University,Cavaliers,North Canton,Ohio,Great Midwest Athletic Conference
Washburn University,Ichabods,Topeka,Kansas,Mid-America Intercollegiate Athletics Association
Wayne State University,Warriors,Detroit,Michigan,Great Lakes Intercollegiate Athletic Conference
Wayne State College,Wildcats,Wayne,Nebraska,Northern Sun Intercollegiate Conference
University of West Alabama,Tigers,Livingston,Alabama,Gulf South Conference
West Chester University,Golden Rams,West Chester,Pennsylvania,Pennsylvania State Athletic Conference
University of West Florida,Argonauts,Pensacola,Florida,Gulf South Conference
University of West Georgia,Wolves,Carrollton,Georgia,Gulf South Conference
West Liberty University,Hilltoppers,West Liberty,West Virginia,Mountain East Conference
West Texas A&M University,Buffaloes,Canyon,Texas,Lone Star Conference
West Virginia State University,Yellow Jackets,Institute,West Virginia,Mountain East Conference
West Virginia Wesleyan College,Bobcats,Buckhannon,West Virginia,Mountain East Conference
Western New Mexico University,Mustangs,Silver City,New Mexico,Lone Star Conference
Western Oregon University,Wolves,Monmouth,Oregon,Great Northwest Athletic Conference
Western State Colorado University,Mountaineers,Gunnison,Colorado,Rocky Mountain Athletic Conference
Western Washington University,Vikings,Bellingham,Washington,Great Northwest Athletic Conference
Wheeling Jesuit University,Cardinals,Wheeling,West Virginia,Mountain East Conference
William Jewell College,Cardinals,Liberty,Missouri,Great Lakes Valley Conference
Wilmington University,Wildcats,New Castle,Delaware,Central Atlantic Collegiate Conference
Wingate University,Bulldogs,Wingate,North Carolina,South Atlantic Conference
Winona State University,Warriors,Winona,Minnesota,Northern Sun Intercollegiate Conference
Winston–Salem State University,Rams,Winston–Salem,North Carolina,Central Intercollegiate Athletic Association
University of Wisconsin–Parkside,Rangers,Kenosha,Wisconsin,Great Lakes Intercollegiate Athletic Conference
Young Harris College,Mountain Lions,Young Harris,Georgia,Peach Belt Conference
